[2026-05-15T18:32:43.500+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T16:31:56.125+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T16:33:44.682+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T16:37:19.830+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T16:39:38.548+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T17:02:12.446+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T17:19:57.728+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T17:24:09.583+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T17:24:18.618+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T17:50:49.265+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T17:52:50.864+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T17:53:36.707+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T17:54:37.613+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T18:00:44.115+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T18:04:45.066+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
[2026-05-18T18:05:02.561+08:00] setting includeBboxInPlanning to true { planningModeDeepThink: false, noIndividualLocateModel: true }
